position,player,Value,points_per_dollar,fpts,position_qb,position_rb,position_wr,position_te,position_flex
WR,A.J. Brown,26,8.494039648384616,220.84503085800003,0,0,1,0,1
RB,Aaron Jones,32,7.580005003874999,242.56016012399996,0,1,0,0,1
QB,Aaron Rodgers,3,103.22119840533334,309.66359521600003,1,0,0,0,0
WR,Adam Thielen,6,32.02771780366667,192.166306822,0,0,1,0,1
RB,AJ Dillon,2,84.37651911500001,168.75303823000002,0,1,0,0,1
WR,Allen Lazard,2,86.279727872,172.559455744,0,0,1,0,1
WR,Allen Robinson II,7,28.724150332571433,201.06905232800003,0,0,1,0,1
RB,Alvin Kamara,46,5.539670311782609,254.824834342,0,1,0,0,1
WR,Amari Cooper,7,28.42375815171428,198.96630706199997,0,0,1,0,1
WR,Amon-Ra St. Brown,13,16.06590316584615,208.85674115599997,0,0,1,0,1
RB,Antonio Gibson,4,45.315556578499994,181.26222631399997,0,1,0,0,1
RB,Austin Ekeler,58,4.909193746310345,284.733237286,0,1,0,0,1
WR,Brandin Cooks,22,9.777195070090908,215.09829154199997,0,0,1,0,1
WR,Brandon Aiyuk,2,92.459124657,184.918249314,0,0,1,0,1
RB,Breece Hall,19,11.087473034210523,210.66198764999996,0,1,0,0,1
RB,Caleb Huntley,NA,NA,43,0,1,0,0,1
RB,Cam Akers,28,5.239680714285716,146.71106000000003,0,1,0,0,1
WR,CeeDee Lamb,40,6.31132369905,252.452947962,0,0,1,0,1
WR,Chase Claypool,2,90.1797130205,180.359426041,0,0,1,0,1
RB,Chase Edmonds,4,43.51634087049999,174.06536348199995,0,1,0,0,1
WR,Chris Godwin,13,15.246231649153847,198.201011439,0,0,1,0,1
WR,Chris Olave,2,87.223327629,174.446655258,0,0,1,0,1
WR,Christian Kirk,7,28.57348319142857,200.01438233999997,0,0,1,0,1
RB,Christian McCaffrey,59,5.253265485694915,309.942663656,0,1,0,0,1
RB,Clyde Edwards-Helaire,10,19.0599911078,190.599911078,0,1,0,0,1
TE,Cole Kmet,2,72.889466064,145.778932128,0,0,0,1,1
WR,Cooper Kupp,59,5.303501183305085,312.906569815,0,0,1,0,1
RB,Cordarrelle Patterson,4,41.97118950699999,167.88475802799996,0,1,0,0,1
WR,Courtland Sutton,15,14.0279589812,210.419384718,0,0,1,0,1
RB,D'Andre Swift,42,6.039437154619049,253.65636049400004,0,1,0,0,1
QB,Dak Prescott,3,102.17417960666667,306.52253882,1,0,0,0,0
TE,Dallas Goedert,3,50.110627832666665,150.331883498,0,0,0,1,1
TE,Dalton Schultz,5,35.332486347199996,176.66243173599997,0,0,0,1,1
RB,Dalvin Cook,49,5.275314369591838,258.49040411000004,0,1,0,0,1
RB,Dameon Pierce,4,45.91356759399999,183.65427037599997,0,1,0,0,1
RB,Damien Harris,4,43.63867501,174.55470004,0,1,0,0,1
WR,Darnell Mooney,12,17.681665266916664,212.17998320299998,0,0,1,0,1
TE,Darren Waller,9,20.856874427777782,187.71186985000003,0,0,0,1,1
WR,Davante Adams,45,5.635389235777778,253.59251561,0,0,1,0,1
RB,David Montgomery,21,10.47227766409524,219.917830946,0,1,0,0,1
TE,David Njoku,1,131.428874556,131.428874556,0,0,0,1,1
TE,Dawson Knox,1,146.55852985,146.55852985,0,0,0,1,1
WR,DeAndre Hopkins,2,75.205495941,150.410991882,0,0,1,0,1
WR,Deebo Samuel,44,5.942318791363636,261.46202682,0,0,1,0,1
QB,Derek Carr,1,260.60691055599995,260.60691055599995,1,0,0,0,0
RB,Derrick Henry,52,5.085955148,264.469667696,0,1,0,0,1
WR,DeVante Parker,1,146.436916058,146.436916058,0,0,1,0,1
RB,Devin Singletary,9,20.96863634133334,188.71772707200006,0,1,0,0,1
WR,DeVonta Smith,5,38.4462910576,192.231455288,0,0,1,0,1
WR,Diontae Johnson,23,9.486678100999999,218.19359632299998,0,0,1,0,1
WR,DJ Chark,2,73.01754265599999,146.03508531199998,0,0,1,0,1
WR,DJ Moore,30,7.8189517562666655,234.56855268799995,0,0,1,0,1
WR,DK Metcalf,17,12.495789671176471,212.42842441000002,0,0,1,0,1
WR,Drake London,6,32.128688230666675,192.77212938400004,0,0,1,0,1
RB,Elijah Mitchell,10,19.7423332744,197.423332744,0,1,0,0,1
